n,r2_oof,mae,rmse,model,predictors,r2_oof_ci_low,r2_oof_ci_high
21,-0.39674554552062546,15.675089245365692,18.299814349830754,baseline_age_sex,2,-1.3613350994957498,-0.13060731071644419
21,-1.381740487087335,19.157343292954277,23.896552786134798,primary_parsimonious,5,-2.846212584750929,-0.8892168811123522
21,-0.05515552868650486,13.336309523809524,15.905461537943777,secondary_elasticnet,10,-0.5033078169431329,-0.016551252319115833
21,-3.5761299730259646,27.505555527413406,33.12357562309347,transparency_full_OLS,10,-9.822996915280497,-1.8137032103669575
25,-0.5912996451711865,16.672885820292933,19.35049657726626,supportive_resting_only,6,-2.0712953183193514,-0.07792950946123425
21,-1.1314961312708118,17.138194766307347,22.606342895337143,supportive_erp_only,6,-2.8324791639574873,-0.38344154787622187
21,-0.1389658421619291,13.629058451057022,16.52507298278911,exploratory_ridge,10,-0.606043105646051,-0.02962261625699265
21,-0.05515552868650486,13.336309523809524,15.905461537943777,exploratory_lasso,10,-0.5033078169431329,-0.016551252319115833
21,-0.29369840353062426,14.871143342107624,17.611832950078398,exploratory_random_forest,10,-1.137542673839277,-0.05626391850013769
21,-0.35811007549829155,14.68336284160614,18.044943307284754,exploratory_xgboost,10,-1.3563366788271154,0.0911966593190612
