dataset,subject_uid,bids_subject_id,Original_ID,fold,session,task,suffix,remote_key,remote_size_bytes,local_path,status,downloaded,local_size_bytes,size_match
ds003522,M87107075,sub-005,3076,0,ses-01,ThreeStimAuditoryOddball,channels.tsv,ds003522/sub-005/ses-01/eeg/sub-005_ses-01_task-ThreeStimAuditoryOddball_channels.tsv,769,data\raw\ds003522\sub-005\ses-01\eeg\sub-005_ses-01_task-ThreeStimAuditoryOddball_channels.tsv,DOWNLOADED,True,769,True
ds003522,M87107075,sub-005,3076,0,ses-01,ThreeStimAuditoryOddball,coordsystem.json,ds003522/sub-005/ses-01/eeg/sub-005_ses-01_task-ThreeStimAuditoryOddball_coordsystem.json,141,data\raw\ds003522\sub-005\ses-01\eeg\sub-005_ses-01_task-ThreeStimAuditoryOddball_coordsystem.json,DOWNLOADED,True,141,True
ds003522,M87107075,sub-005,3076,0,ses-01,ThreeStimAuditoryOddball,eeg.fdt,ds003522/sub-005/ses-01/eeg/sub-005_ses-01_task-ThreeStimAuditoryOddball_eeg.fdt,121946500,data\raw\ds003522\sub-005\ses-01\eeg\sub-005_ses-01_task-ThreeStimAuditoryOddball_eeg.fdt,DOWNLOADED,True,121946500,True
ds003522,M87107075,sub-005,3076,0,ses-01,ThreeStimAuditoryOddball,eeg.json,ds003522/sub-005/ses-01/eeg/sub-005_ses-01_task-ThreeStimAuditoryOddball_eeg.json,555,data\raw\ds003522\sub-005\ses-01\eeg\sub-005_ses-01_task-ThreeStimAuditoryOddball_eeg.json,DOWNLOADED,True,555,True
ds003522,M87107075,sub-005,3076,0,ses-01,ThreeStimAuditoryOddball,eeg.set,ds003522/sub-005/ses-01/eeg/sub-005_ses-01_task-ThreeStimAuditoryOddball_eeg.set,2406512,data\raw\ds003522\sub-005\ses-01\eeg\sub-005_ses-01_task-ThreeStimAuditoryOddball_eeg.set,DOWNLOADED,True,2406512,True
ds003522,M87107075,sub-005,3076,0,ses-01,ThreeStimAuditoryOddball,electrodes.tsv,ds003522/sub-005/ses-01/eeg/sub-005_ses-01_task-ThreeStimAuditoryOddball_electrodes.tsv,1460,data\raw\ds003522\sub-005\ses-01\eeg\sub-005_ses-01_task-ThreeStimAuditoryOddball_electrodes.tsv,DOWNLOADED,True,1460,True
ds003522,M87107075,sub-005,3076,0,ses-01,ThreeStimAuditoryOddball,events.json,ds003522/sub-005/ses-01/eeg/sub-005_ses-01_task-ThreeStimAuditoryOddball_events.json,137,data\raw\ds003522\sub-005\ses-01\eeg\sub-005_ses-01_task-ThreeStimAuditoryOddball_events.json,DOWNLOADED,True,137,True
ds003522,M87107075,sub-005,3076,0,ses-01,ThreeStimAuditoryOddball,events.tsv,ds003522/sub-005/ses-01/eeg/sub-005_ses-01_task-ThreeStimAuditoryOddball_events.tsv,27925,data\raw\ds003522\sub-005\ses-01\eeg\sub-005_ses-01_task-ThreeStimAuditoryOddball_events.tsv,DOWNLOADED,True,27925,True
ds003522,M87108749,sub-006,3034,2,ses-01,ThreeStimAuditoryOddball,channels.tsv,ds003522/sub-006/ses-01/eeg/sub-006_ses-01_task-ThreeStimAuditoryOddball_channels.tsv,769,data\raw\ds003522\sub-006\ses-01\eeg\sub-006_ses-01_task-ThreeStimAuditoryOddball_channels.tsv,DOWNLOADED,True,769,True
ds003522,M87108749,sub-006,3034,2,ses-01,ThreeStimAuditoryOddball,coordsystem.json,ds003522/sub-006/ses-01/eeg/sub-006_ses-01_task-ThreeStimAuditoryOddball_coordsystem.json,141,data\raw\ds003522\sub-006\ses-01\eeg\sub-006_ses-01_task-ThreeStimAuditoryOddball_coordsystem.json,DOWNLOADED,True,141,True
ds003522,M87108749,sub-006,3034,2,ses-01,ThreeStimAuditoryOddball,eeg.fdt,ds003522/sub-006/ses-01/eeg/sub-006_ses-01_task-ThreeStimAuditoryOddball_eeg.fdt,126100000,data\raw\ds003522\sub-006\ses-01\eeg\sub-006_ses-01_task-ThreeStimAuditoryOddball_eeg.fdt,DOWNLOADED,True,126100000,True
ds003522,M87108749,sub-006,3034,2,ses-01,ThreeStimAuditoryOddball,eeg.json,ds003522/sub-006/ses-01/eeg/sub-006_ses-01_task-ThreeStimAuditoryOddball_eeg.json,552,data\raw\ds003522\sub-006\ses-01\eeg\sub-006_ses-01_task-ThreeStimAuditoryOddball_eeg.json,DOWNLOADED,True,552,True
ds003522,M87108749,sub-006,3034,2,ses-01,ThreeStimAuditoryOddball,eeg.set,ds003522/sub-006/ses-01/eeg/sub-006_ses-01_task-ThreeStimAuditoryOddball_eeg.set,2470408,data\raw\ds003522\sub-006\ses-01\eeg\sub-006_ses-01_task-ThreeStimAuditoryOddball_eeg.set,DOWNLOADED,True,2470408,True
ds003522,M87108749,sub-006,3034,2,ses-01,ThreeStimAuditoryOddball,electrodes.tsv,ds003522/sub-006/ses-01/eeg/sub-006_ses-01_task-ThreeStimAuditoryOddball_electrodes.tsv,1460,data\raw\ds003522\sub-006\ses-01\eeg\sub-006_ses-01_task-ThreeStimAuditoryOddball_electrodes.tsv,DOWNLOADED,True,1460,True
ds003522,M87108749,sub-006,3034,2,ses-01,ThreeStimAuditoryOddball,events.json,ds003522/sub-006/ses-01/eeg/sub-006_ses-01_task-ThreeStimAuditoryOddball_events.json,137,data\raw\ds003522\sub-006\ses-01\eeg\sub-006_ses-01_task-ThreeStimAuditoryOddball_events.json,DOWNLOADED,True,137,True
ds003522,M87108749,sub-006,3034,2,ses-01,ThreeStimAuditoryOddball,events.tsv,ds003522/sub-006/ses-01/eeg/sub-006_ses-01_task-ThreeStimAuditoryOddball_events.tsv,27924,data\raw\ds003522\sub-006\ses-01\eeg\sub-006_ses-01_task-ThreeStimAuditoryOddball_events.tsv,DOWNLOADED,True,27924,True
ds003522,M87111903,sub-009,3016,0,ses-01,ThreeStimAuditoryOddball,channels.tsv,ds003522/sub-009/ses-01/eeg/sub-009_ses-01_task-ThreeStimAuditoryOddball_channels.tsv,769,data\raw\ds003522\sub-009\ses-01\eeg\sub-009_ses-01_task-ThreeStimAuditoryOddball_channels.tsv,DOWNLOADED,True,769,True
