feature,kind,n_subjects,n_nonnull,n_missing,pct_missing,mean,sd,min,median,max,high_missing_flag
rest_EC_n_blocks_used,rest,25,25,0,0.0,2.0,0.0,2.0,2.0,2.0,False
rest_EC_n_seg_total,rest,25,25,0,0.0,60.0,0.0,60.0,60.0,60.0,False
rest_EC_n_seg_kept,rest,25,25,0,0.0,52.08,8.6647,27.0,56.0,60.0,False
rest_EC_usable_s,rest,25,25,0,0.0,104.16,17.3294,54.0,112.0,120.0,False
rest_EC_iaf_posterior_hz,rest,25,25,0,0.0,10.02,0.9296,8.5,10.0,12.5,False
rest_EC_frontal_delta_abs,rest,25,25,0,0.0,17.9905,10.2005,6.072,14.0184,43.7507,False
rest_EC_frontal_delta_rel,rest,25,25,0,0.0,0.36,0.1211,0.1378,0.3751,0.5681,False
rest_EC_frontal_theta_abs,rest,25,25,0,0.0,9.3568,9.8798,2.2307,5.9689,40.3303,False
rest_EC_frontal_theta_rel,rest,25,25,0,0.0,0.1574,0.079,0.0749,0.13,0.3616,False
rest_EC_frontal_alpha_abs,rest,25,25,0,0.0,17.3904,13.7975,1.1239,15.813,46.951,False
rest_EC_frontal_alpha_rel,rest,25,25,0,0.0,0.2975,0.1747,0.0579,0.2341,0.6744,False
rest_EC_frontal_beta_abs,rest,25,25,0,0.0,5.9217,3.5826,2.0799,4.4757,14.1657,False
rest_EC_frontal_beta_rel,rest,25,25,0,0.0,0.1247,0.068,0.0396,0.1175,0.3593,False
rest_EC_frontal_theta_alpha_ratio,rest,25,25,0,0.0,0.7823,0.6127,0.1111,0.6387,1.9847,False
rest_EC_frontal_spec_entropy,rest,25,25,0,0.0,0.7363,0.0561,0.6433,0.7327,0.8527,False
rest_EC_frontal_aper_offset,rest,25,25,0,0.0,1.104,0.295,0.6613,1.0528,1.7401,False
rest_EC_frontal_aper_exponent,rest,25,25,0,0.0,1.3496,0.202,0.7501,1.3588,1.6961,False
rest_EC_frontal_aper_r2,rest,25,25,0,0.0,0.9856,0.0168,0.9298,0.9937,0.9978,False
rest_EC_central_delta_abs,rest,25,25,0,0.0,8.7641,5.3513,3.2422,6.8527,22.7646,False
rest_EC_central_delta_rel,rest,25,25,0,0.0,0.2339,0.0868,0.0969,0.2045,0.4691,False
rest_EC_central_theta_abs,rest,25,25,0,0.0,8.1659,8.8574,1.477,4.7829,34.1742,False
rest_EC_central_theta_rel,rest,25,25,0,0.0,0.1766,0.0873,0.0781,0.1428,0.3982,False
rest_EC_central_alpha_abs,rest,25,25,0,0.0,14.7931,10.8854,0.8247,16.8847,37.0049,False
rest_EC_central_alpha_rel,rest,25,25,0,0.0,0.3343,0.1701,0.0602,0.276,0.6491,False
rest_EC_central_beta_abs,rest,25,25,0,0.0,6.1368,3.4024,2.4394,5.7871,16.5307,False
rest_EC_central_beta_rel,rest,25,25,0,0.0,0.1704,0.0786,0.0763,0.1554,0.3602,False
rest_EC_central_theta_alpha_ratio,rest,25,25,0,0.0,0.7431,0.5671,0.1463,0.5639,1.81,False
rest_EC_central_spec_entropy,rest,25,25,0,0.0,0.8079,0.069,0.6805,0.8096,0.9309,False
rest_EC_central_aper_offset,rest,25,25,0,0.0,0.7557,0.3735,-0.441,0.7791,1.3969,False
rest_EC_central_aper_exponent,rest,25,25,0,0.0,1.1025,0.2908,0.2046,1.145,1.5194,False
rest_EC_central_aper_r2,rest,25,25,0,0.0,0.9768,0.0319,0.8708,0.99,0.9973,False
rest_EC_parietal_delta_abs,rest,25,25,0,0.0,12.5183,9.38,3.1558,8.7802,41.4022,False
rest_EC_parietal_delta_rel,rest,25,25,0,0.0,0.1937,0.0977,0.0652,0.1877,0.4291,False
rest_EC_parietal_theta_abs,rest,25,25,0,0.0,13.5994,19.6757,1.2802,7.9027,93.9978,False
rest_EC_parietal_theta_rel,rest,25,25,0,0.0,0.1538,0.0993,0.0536,0.1201,0.426,False
rest_EC_parietal_alpha_abs,rest,25,25,0,0.0,43.5388,37.6673,0.8268,34.8072,139.107,False
rest_EC_parietal_alpha_rel,rest,25,25,0,0.0,0.4737,0.1946,0.0952,0.4539,0.7753,False
rest_EC_parietal_beta_abs,rest,25,25,0,0.0,7.9558,5.4123,1.9879,6.2976,25.6245,False
rest_EC_parietal_beta_rel,rest,25,25,0,0.0,0.13,0.0717,0.0347,0.1131,0.3083,False
rest_EC_parietal_theta_alpha_ratio,rest,25,25,0,0.0,0.4643,0.4375,0.0847,0.2768,1.5483,False
rest_EC_parietal_spec_entropy,rest,25,25,0,0.0,0.7372,0.0778,0.6032,0.7395,0.8747,False
rest_EC_parietal_aper_offset,rest,25,25,0,0.0,1.0015,0.3745,0.2248,0.9882,1.7788,False
rest_EC_parietal_aper_exponent,rest,25,25,0,0.0,1.3661,0.2237,0.9401,1.3702,1.9191,False
rest_EC_parietal_aper_r2,rest,25,25,0,0.0,0.9902,0.0068,0.9652,0.9915,0.997,False
rest_EC_occipital_delta_abs,rest,25,25,0,0.0,14.6409,12.0461,3.6199,11.9536,57.0495,False
rest_EC_occipital_delta_rel,rest,25,25,0,0.0,0.1767,0.0898,0.0585,0.1727,0.3948,False
rest_EC_occipital_theta_abs,rest,25,25,0,0.0,14.3294,18.1811,1.416,7.8744,87.0939,False
rest_EC_occipital_theta_rel,rest,25,25,0,0.0,0.1388,0.0867,0.0428,0.1155,0.3378,False
rest_EC_occipital_alpha_abs,rest,25,25,0,0.0,62.2956,61.5326,1.0059,38.6376,220.2148,False
rest_EC_occipital_alpha_rel,rest,25,25,0,0.0,0.5086,0.2014,0.0965,0.5017,0.8351,False
rest_EC_occipital_beta_abs,rest,25,25,0,0.0,10.1313,7.8217,2.4361,8.003,40.1041,False
rest_EC_occipital_beta_rel,rest,25,25,0,0.0,0.1246,0.0619,0.0466,0.1097,0.2885,False
rest_EC_occipital_theta_alpha_ratio,rest,25,25,0,0.0,0.4028,0.4057,0.0512,0.2902,1.4077,False
rest_EC_occipital_spec_entropy,rest,25,25,0,0.0,0.7278,0.0946,0.5263,0.7495,0.8772,False
rest_EC_occipital_aper_offset,rest,25,25,0,0.0,1.0356,0.3514,0.3343,1.0115,1.8408,False
rest_EC_occipital_aper_exponent,rest,25,25,0,0.0,1.2699,0.2145,0.7654,1.2517,1.6913,False
rest_EC_occipital_aper_r2,rest,25,25,0,0.0,0.9874,0.0078,0.9642,0.9886,0.9959,False
rest_EC_global_delta_abs,rest,25,25,0,0.0,12.9099,7.5001,4.1616,9.1452,30.9026,False
rest_EC_global_delta_rel,rest,25,25,0,0.0,0.2545,0.0986,0.093,0.2671,0.4466,False
rest_EC_global_theta_abs,rest,25,25,0,0.0,10.0726,11.6341,1.6772,5.7966,51.1257,False
rest_EC_global_theta_rel,rest,25,25,0,0.0,0.1573,0.0857,0.0728,0.131,0.3704,False
rest_EC_global_alpha_abs,rest,25,25,0,0.0,25.5849,21.2206,0.9412,21.0706,71.6384,False
rest_EC_global_alpha_rel,rest,25,25,0,0.0,0.3853,0.1875,0.0655,0.3477,0.728,False
rest_EC_global_beta_abs,rest,25,25,0,0.0,6.8247,3.9958,2.8829,6.3541,20.0171,False
rest_EC_global_beta_rel,rest,25,25,0,0.0,0.1388,0.0697,0.0519,0.1273,0.3431,False
rest_EC_global_theta_alpha_ratio,rest,25,25,0,0.0,0.5945,0.5089,0.1,0.4582,1.7821,False
