subject,rest_EC_n_blocks_used,rest_EC_n_seg_total,rest_EC_n_seg_kept,rest_EC_usable_s,rest_EC_iaf_posterior_hz,rest_EC_frontal_delta_abs,rest_EC_frontal_delta_rel,rest_EC_frontal_theta_abs,rest_EC_frontal_theta_rel,rest_EC_frontal_alpha_abs,rest_EC_frontal_alpha_rel,rest_EC_frontal_beta_abs,rest_EC_frontal_beta_rel,rest_EC_frontal_theta_alpha_ratio,rest_EC_frontal_spec_entropy,rest_EC_frontal_aper_offset,rest_EC_frontal_aper_exponent,rest_EC_frontal_aper_r2,rest_EC_central_delta_abs,rest_EC_central_delta_rel,rest_EC_central_theta_abs,rest_EC_central_theta_rel,rest_EC_central_alpha_abs,rest_EC_central_alpha_rel,rest_EC_central_beta_abs,rest_EC_central_beta_rel,rest_EC_central_theta_alpha_ratio,rest_EC_central_spec_entropy,rest_EC_central_aper_offset,rest_EC_central_aper_exponent,rest_EC_central_aper_r2,rest_EC_parietal_delta_abs,rest_EC_parietal_delta_rel,rest_EC_parietal_theta_abs,rest_EC_parietal_theta_rel,rest_EC_parietal_alpha_abs,rest_EC_parietal_alpha_rel,rest_EC_parietal_beta_abs,rest_EC_parietal_beta_rel,rest_EC_parietal_theta_alpha_ratio,rest_EC_parietal_spec_entropy,rest_EC_parietal_aper_offset,rest_EC_parietal_aper_exponent,rest_EC_parietal_aper_r2,rest_EC_occipital_delta_abs,rest_EC_occipital_delta_rel,rest_EC_occipital_theta_abs,rest_EC_occipital_theta_rel,rest_EC_occipital_alpha_abs,rest_EC_occipital_alpha_rel,rest_EC_occipital_beta_abs,rest_EC_occipital_beta_rel,rest_EC_occipital_theta_alpha_ratio,rest_EC_occipital_spec_entropy,rest_EC_occipital_aper_offset,rest_EC_occipital_aper_exponent,rest_EC_occipital_aper_r2,rest_EC_global_delta_abs,rest_EC_global_delta_rel,rest_EC_global_theta_abs,rest_EC_global_theta_rel,rest_EC_global_alpha_abs,rest_EC_global_alpha_rel,rest_EC_global_beta_abs,rest_EC_global_beta_rel,rest_EC_global_theta_alpha_ratio,rest_EC_global_spec_entropy,rest_EC_global_aper_offset,rest_EC_global_aper_exponent,rest_EC_global_aper_r2,rest_EO_n_blocks_used,rest_EO_n_seg_total,rest_EO_n_seg_kept,rest_EO_usable_s,rest_EO_iaf_posterior_hz,rest_EO_frontal_delta_abs,rest_EO_frontal_delta_rel,rest_EO_frontal_theta_abs,rest_EO_frontal_theta_rel,rest_EO_frontal_alpha_abs,rest_EO_frontal_alpha_rel,rest_EO_frontal_beta_abs,rest_EO_frontal_beta_rel,rest_EO_frontal_theta_alpha_ratio,rest_EO_frontal_spec_entropy,rest_EO_frontal_aper_offset,rest_EO_frontal_aper_exponent,rest_EO_frontal_aper_r2,rest_EO_central_delta_abs,rest_EO_central_delta_rel,rest_EO_central_theta_abs,rest_EO_central_theta_rel,rest_EO_central_alpha_abs,rest_EO_central_alpha_rel,rest_EO_central_beta_abs,rest_EO_central_beta_rel,rest_EO_central_theta_alpha_ratio,rest_EO_central_spec_entropy,rest_EO_central_aper_offset,rest_EO_central_aper_exponent,rest_EO_central_aper_r2,rest_EO_parietal_delta_abs,rest_EO_parietal_delta_rel,rest_EO_parietal_theta_abs,rest_EO_parietal_theta_rel,rest_EO_parietal_alpha_abs,rest_EO_parietal_alpha_rel,rest_EO_parietal_beta_abs,rest_EO_parietal_beta_rel,rest_EO_parietal_theta_alpha_ratio,rest_EO_parietal_spec_entropy,rest_EO_parietal_aper_offset,rest_EO_parietal_aper_exponent,rest_EO_parietal_aper_r2,rest_EO_occipital_delta_abs,rest_EO_occipital_delta_rel,rest_EO_occipital_theta_abs,rest_EO_occipital_theta_rel,rest_EO_occipital_alpha_abs,rest_EO_occipital_alpha_rel,rest_EO_occipital_beta_abs,rest_EO_occipital_beta_rel,rest_EO_occipital_theta_alpha_ratio,rest_EO_occipital_spec_entropy,rest_EO_occipital_aper_offset,rest_EO_occipital_aper_exponent,rest_EO_occipital_aper_r2,rest_EO_global_delta_abs,rest_EO_global_delta_rel,rest_EO_global_theta_abs,rest_EO_global_theta_rel,rest_EO_global_alpha_abs,rest_EO_global_alpha_rel,rest_EO_global_beta_abs,rest_EO_global_beta_rel,rest_EO_global_theta_alpha_ratio,rest_EO_global_spec_entropy,rest_EO_global_aper_offset,rest_EO_global_aper_exponent,rest_EO_global_aper_r2
sub-005,2,60,42,84.0,8.5,33.8895,0.37515,29.5616,0.32724,15.813,0.17505,8.0089,0.08866,1.8694,0.7397,1.5674,1.5586,0.9978,22.7646,0.27171,26.897,0.32104,17.3272,0.20681,11.0196,0.13153,1.5523,0.8213,1.2523,1.1091,0.995,24.9462,0.22601,40.7325,0.36903,34.3751,0.31143,7.7764,0.07045,1.1849,0.7458,1.4756,1.622,0.9892,27.6449,0.25332,35.2217,0.32275,30.3967,0.27854,10.7436,0.09845,1.1587,0.7801,1.3986,1.2931,0.9959,27.158,0.29284,30.7159,0.33121,20.8851,0.2252,9.5882,0.10339,1.4707,0.7843,1.4107,1.3139,0.9963,2,60,33,66.0,8.5,34.0207,0.42137,23.5648,0.29186,10.2496,0.12695,8.764,0.10855,2.2991,0.7429,1.4957,1.3912,0.9929,17.0466,0.2668,16.8325,0.26345,9.3973,0.14708,12.9134,0.20211,1.7912,0.8719,1.0335,0.8977,0.9882,15.0998,0.27018,21.5331,0.3853,11.4186,0.20431,5.7565,0.103,1.8858,0.7788,1.1538,1.4399,0.9915,17.1845,0.28144,21.9493,0.35947,10.6782,0.17488,7.4875,0.12263,2.0555,0.7989,1.1675,1.2424,0.9929,22.0944,0.32647,20.237,0.29902,10.108,0.14936,9.932,0.14676,2.0021,0.8118,1.242,1.139,0.9953
sub-006,2,60,39,78.0,9.5,27.9312,0.45195,9.916,0.16045,17.278,0.27957,4.4757,0.07242,0.5739,0.6933,1.4203,1.5624,0.9957,8.9026,0.21696,8.321,0.20279,17.5012,0.42652,4.1176,0.10035,0.4755,0.7884,0.9105,1.2378,0.9957,20.6389,0.21714,18.5399,0.19506,47.4586,0.49931,6.2976,0.06626,0.3907,0.7251,1.4367,1.7104,0.9952,19.6696,0.2254,18.1795,0.20832,41.8023,0.47902,5.738,0.06575,0.4349,0.7228,1.4145,1.6913,0.9941,17.8453,0.29304,11.4888,0.18866,24.6818,0.4053,4.7386,0.07781,0.4655,0.7433,1.2835,1.4996,0.9975,2,60,47,94.0,9.5,14.3769,0.3919,7.0655,0.1926,10.727,0.2924,3.2652,0.08901,0.6587,0.737,1.2354,1.5985,0.9959,7.036,0.24446,6.0144,0.20897,11.52,0.40026,2.9229,0.10156,0.5221,0.7789,0.9194,1.4457,0.9922,9.168,0.19176,8.7107,0.18219,24.5941,0.51441,3.9888,0.08343,0.3542,0.7345,1.067,1.5562,0.9905,10.3822,0.23238,8.3249,0.18634,20.8013,0.46559,3.9703,0.08887,0.4002,0.7417,1.1221,1.5738,0.9901,10.0481,0.27978,7.0108,0.19521,14.2709,0.39736,3.3107,0.09218,0.4913,0.7583,1.0909,1.5378,0.9935
sub-009,2,60,59,118.0,12.5,9.8155,0.50579,2.2307,0.11495,1.1239,0.05792,3.2314,0.16651,1.9847,0.7647,0.6613,1.1004,0.9298,3.7837,0.27614,1.477,0.10779,0.8247,0.06019,4.372,0.31907,1.7909,0.9169,-0.441,0.2046,0.8708,3.571,0.41132,1.2802,0.14746,0.8268,0.09524,1.9879,0.22898,1.5483,0.8185,0.2248,0.9669,0.9959,4.1148,0.3948,1.416,0.13586,1.0059,0.09651,2.4361,0.23373,1.4077,0.8365,0.3343,0.9416,0.9642,5.6801,0.39531,1.6772,0.11673,0.9412,0.0655,3.4383,0.23929,1.7821,0.844,0.404,0.9221,0.9202,2,60,57,114.0,,5.9363,0.48847,1.752,0.14416,0.7991,0.06576,2.2621,0.18614,2.1923,0.7573,0.2371,0.9132,0.9873,3.5654,0.27052,1.3692,0.10389,0.6679,0.05068,4.592,0.34841,2.0499,0.9148,-0.6051,0.1192,0.9341,3.4846,0.44225,1.2127,0.15392,0.6619,0.084,1.7759,0.22539,1.8323,0.7941,0.3741,1.1506,0.9922,4.4233,0.45642,1.3715,0.14152,0.7555,0.07796,2.0773,0.21435,1.8152,0.7956,0.2561,0.9662,0.9886,4.4022,0.37698,1.4671,0.12564,0.719,0.06158,3.1535,0.27005,2.0404,0.8482,-0.1839,0.5149,0.9775
sub-013,2,60,59,118.0,10.5,9.1828,0.13784,4.991,0.07492,44.9279,0.6744,5.4196,0.08135,0.1111,0.6777,0.9854,1.3611,0.9957,6.106,0.10711,5.4139,0.09497,37.0049,0.64911,6.1406,0.10771,0.1463,0.7152,0.8212,1.2602,0.9875,12.7675,0.07116,11.7884,0.0657,139.107,0.77528,11.8748,0.06618,0.0847,0.6187,1.2099,1.5009,0.9865,15.2335,0.06746,13.2638,0.05873,178.9664,0.79248,13.6636,0.0605,0.0741,0.595,1.2564,1.4465,0.9875,9.1452,0.09301,7.1594,0.07281,71.5842,0.728,7.662,0.07792,0.1,0.6527,0.9986,1.3573,0.9935,2,60,50,100.0,10.0,21.6005,0.4449,4.8195,0.09927,15.2761,0.31464,4.9054,0.10104,0.3155,0.7266,1.2578,1.4933,0.9971,6.0745,0.17059,2.868,0.08054,19.5947,0.55029,4.8792,0.13703,0.1464,0.7586,0.7034,1.1876,0.9974,10.1292,0.13559,4.4464,0.05952,51.0933,0.68393,6.8142,0.09121,0.087,0.6679,1.0476,1.5136,0.9955,11.9778,0.15191,5.1892,0.06581,51.4289,0.65226,7.6934,0.09757,0.1009,0.6782,1.0844,1.4248,0.9964,12.2345,0.242,3.9899,0.07892,26.6539,0.52722,5.5113,0.10901,0.1497,0.7318,1.0453,1.4035,0.9984
sub-017,2,60,47,94.0,9.5,17.8628,0.46335,6.2839,0.163,8.357,0.21677,3.7623,0.09759,0.7519,0.7339,1.2276,1.4528,0.9953,6.6338,0.30003,4.6691,0.21117,5.691,0.25739,3.4364,0.15542,0.8204,0.8288,0.7212,1.1342,0.9947,10.1472,0.2331,7.9027,0.18154,19.5974,0.45019,4.7065,0.10812,0.4033,0.7515,1.0761,1.4877,0.9933,11.9338,0.26804,7.4703,0.16779,16.148,0.3627,6.2156,0.13961,0.4626,0.8048,1.0115,1.1858,0.9886,11.2994,0.34176,5.9786,0.18083,9.7868,0.29601,4.0642,0.12293,0.6109,0.7846,0.9952,1.2859,0.9903,2,60,24,48.0,10.0,155.585,0.8274,22.1989,0.11805,4.1825,0.02224,4.0385,0.02148,5.3076,0.5231,2.3277,2.2758,0.9794,18.6131,0.63386,4.5026,0.15333,2.3069,0.07856,2.6033,0.08865,1.9518,0.6737,1.1865,1.5562,0.9962,34.5792,0.68389,6.7463,0.13342,4.9641,0.09818,3.2042,0.06337,1.359,0.6345,1.6018,1.8828,0.9959,50.1921,0.69324,8.9328,0.12338,4.8793,0.06739,5.4201,0.07486,1.8308,0.6432,1.4374,1.5046,0.9886,67.6094,0.77435,10.902,0.12486,3.5882,0.0411,3.4884,0.03995,3.0382,0.5711,1.8838,1.9788,0.987
sub-020,2,60,40,80.0,10.0,19.1772,0.23117,7.5435,0.09093,46.951,0.56597,6.4934,0.07827,0.1607,0.6882,1.1585,1.2954,0.9937,8.8577,0.14658,8.1021,0.13408,33.8134,0.55957,6.8956,0.11411,0.2396,0.7451,0.8509,1.0767,0.9966,13.9521,0.0928,13.3143,0.08856,107.9069,0.71776,12.1882,0.08107,0.1234,0.6404,1.1666,1.3218,0.9885,16.5734,0.05849,18.382,0.06487,220.2148,0.77712,22.3326,0.07881,0.0835,0.5947,1.1845,1.1456,0.9858,13.7634,0.12746,9.9455,0.09211,71.6384,0.66344,9.4438,0.08746,0.1388,0.6729,1.0748,1.2082,0.9933,2,60,13,26.0,10.5,14.5054,0.42387,4.0617,0.11869,5.036,0.14716,6.7571,0.19745,0.8065,0.8126,0.8481,1.0176,0.9506,6.6611,0.31841,2.9149,0.13934,3.6602,0.17496,4.8517,0.23192,0.7964,0.8792,0.563,0.886,0.9747,12.1954,0.4324,3.9611,0.14044,6.6183,0.23466,3.9357,0.13954,0.5985,0.77,1.0483,1.4515,0.9944,13.6515,0.38585,4.0283,0.11386,6.6484,0.18791,7.1234,0.20134,0.6059,0.8419,0.8623,1.0042,0.9557,10.7645,0.38571,3.5596,0.12754,4.8796,0.17484,5.6023,0.20074,0.7295,0.8365,0.7707,0.9991,0.9801
sub-021,2,60,59,118.0,10.0,14.0184,0.53336,2.8862,0.10981,4.2357,0.16115,3.0877,0.11748,0.6814,0.7155,0.8963,1.286,0.9607,3.6971,0.27081,1.9493,0.14278,2.8925,0.21187,2.9894,0.21897,0.6739,0.8869,0.2815,0.8042,0.9493,4.0069,0.23858,1.7578,0.10466,7.6225,0.45386,2.6417,0.15729,0.2306,0.7611,0.5676,1.2709,0.9951,6.0652,0.17557,2.8146,0.08147,20.2794,0.58703,4.3005,0.12449,0.1388,0.7017,0.7789,1.3211,0.9943,7.2621,0.35162,2.3233,0.11249,6.1507,0.29781,3.1351,0.1518,0.3777,0.7889,0.561,1.06,0.9907,2,60,43,86.0,10.0,22.8993,0.67084,4.2672,0.12501,1.7905,0.05245,3.1494,0.09226,2.3833,0.6495,1.1079,1.4525,0.9105,4.9644,0.36734,1.8959,0.14029,1.6981,0.12565,2.7589,0.20414,1.1164,0.861,0.3731,0.8901,0.9123,5.9326,0.46087,1.8422,0.14311,2.7038,0.21004,1.7959,0.13952,0.6814,0.7452,0.78,1.4954,0.9966,9.3655,0.45745,3.0051,0.14678,4.8288,0.23586,2.4561,0.11997,0.6223,0.7332,1.0379,1.5847,0.994,11.2554,0.54274,2.768,0.13348,2.2598,0.10897,2.7077,0.13056,1.2249,0.7378,0.7434,1.1577,0.9303
sub-029,2,60,50,100.0,9.0,27.8764,0.24993,40.3303,0.36159,37.0169,0.33188,4.4175,0.03961,1.0895,0.6991,1.5308,1.6961,0.9937,16.6347,0.19384,34.1742,0.39822,24.0983,0.28081,6.8872,0.08025,1.4181,0.7663,1.1031,1.145,0.9899,41.4022,0.18765,93.9978,0.42603,75.5586,0.34246,7.652,0.03468,1.244,0.6903,1.7788,1.9191,0.9944,57.0495,0.19841,87.0939,0.30289,122.4225,0.42576,14.4161,0.05014,0.7114,0.7122,1.8408,1.5196,0.985,28.6825,0.2078,51.1257,0.3704,47.6625,0.34531,7.1641,0.0519,1.0727,0.7241,1.4785,1.4653,0.9957,2,60,53,106.0,9.5,22.4108,0.28272,28.4029,0.35831,22.6211,0.28537,4.0855,0.05154,1.2556,0.7064,1.3823,1.5879,0.9944,10.798,0.17186,24.2699,0.38627,18.3823,0.29257,5.9833,0.09523,1.3203,0.7702,0.9299,1.0743,0.9843,20.2841,0.15078,55.7954,0.41474,51.1711,0.38037,5.6117,0.04171,1.0904,0.6886,1.4198,1.7288,0.9962,28.1737,0.19028,46.1407,0.31163,57.879,0.39091,10.1793,0.06875,0.7972,0.7485,1.4033,1.2792,0.995,17.9329,0.20216,32.7286,0.36896,29.2549,0.3298,5.8625,0.06609,1.1187,0.7372,1.2421,1.338,0.9877
sub-030,2,60,27,54.0,9.0,13.5161,0.21091,6.3589,0.09923,38.8798,0.60671,3.9433,0.06153,0.1636,0.6545,1.2472,1.5954,0.9922,11.3019,0.19735,6.0257,0.10522,33.6908,0.58831,4.5691,0.07978,0.1789,0.6805,1.1115,1.4246,0.9928,21.2023,0.16344,9.8792,0.07615,87.0167,0.67078,8.8899,0.06853,0.1135,0.6278,1.3591,1.4829,0.9955,13.3901,0.07456,9.1983,0.05122,145.1141,0.80804,9.6872,0.05394,0.0634,0.5263,1.1856,1.5256,0.9925,13.6471,0.16079,7.0683,0.08328,56.7393,0.66849,5.6209,0.06622,0.1246,0.6297,1.1955,1.4894,0.995,2,60,58,116.0,10.0,11.8822,0.40299,4.5139,0.15309,7.6039,0.25789,3.4954,0.11855,0.5936,0.7658,0.982,1.2713,0.9905,9.6495,0.32351,4.2114,0.14119,9.868,0.33083,3.8741,0.12988,0.4268,0.7915,0.8787,1.181,0.9935,16.5778,0.35091,6.3348,0.13409,16.1065,0.34094,5.5414,0.1173,0.3933,0.7616,1.1888,1.352,0.9949,9.0773,0.22129,4.0633,0.09906,22.1387,0.5397,3.9535,0.09638,0.1835,0.7069,0.9422,1.3254,0.9889,11.25,0.33513,4.586,0.13662,11.5716,0.34472,4.0002,0.11916,0.3963,0.7727,0.9765,1.2431,0.9888
sub-036,2,60,59,118.0,9.5,15.8926,0.31828,4.5602,0.09133,18.5807,0.37212,8.1162,0.16254,0.2454,0.7642,1.0528,1.2658,0.9891,7.0488,0.16933,3.8988,0.09366,20.0009,0.48049,8.5948,0.20648,0.1949,0.785,0.86,1.3271,0.9929,10.2949,0.09674,8.2277,0.07732,71.4509,0.67144,13.2619,0.12463,0.1152,0.6832,1.071,1.4854,0.9941,12.0774,0.10072,7.6368,0.06369,82.6864,0.68956,13.0891,0.10916,0.0924,0.6588,0.9364,1.088,0.9887,10.8976,0.17265,5.1815,0.08209,34.6279,0.54862,9.6633,0.1531,0.1496,0.7403,0.9739,1.2806,0.9939,2,60,23,46.0,10.0,12.5497,0.4092,3.4471,0.1124,5.4404,0.1774,6.3836,0.20815,0.6336,0.8018,0.8588,1.0822,0.9763,6.6539,0.32467,2.4719,0.12061,4.0659,0.19839,5.63,0.27471,0.608,0.8554,0.7248,1.1973,0.9923,7.8642,0.22979,2.8855,0.08431,15.5836,0.45535,6.1634,0.18009,0.1852,0.7784,0.8754,1.3584,0.9957,9.7322,0.2826,3.2628,0.09474,10.1971,0.2961,7.4015,0.21492,0.32,0.8485,0.7005,0.8934,0.9648,9.0513,0.33097,2.9337,0.10727,6.8815,0.25163,6.1619,0.22532,0.4263,0.8312,0.7824,1.1101,0.9915
