dataset,sheet,variable,n_nonnull,n_rows
ds003522,S1,URSI,93,93
ds003522,S1,SubID,93,93
ds003522,S1,ControlEquals1,93,93
ds003522,S1,HadCT,91,93
ds003522,S1,HadMRI,93,93
ds003522,S1,MRIComplete,93,93
ds003522,S1,DaysSinceInjuryVisit1,91,93
ds003522,S1,GCS,91,93
ds003522,S1,FemaleEquals1,91,93
ds003522,S1,Age,91,93
ds003522,S1,Ethnicity,91,93
ds003522,S1,Race,91,93
ds003522,S1,HandednessTotal,90,93
ds003522,S1,YearsEducation,91,93
ds003522,S1,NumDrinks,91,93
ds003522,S1,BDItotal,91,93
ds003522,S1,NSIsoma,91,93
ds003522,S1,NSIcog,91,93
ds003522,S1,NSIemo,91,93
ds003522,S1,PainRating,91,93
ds003522,S1,P_F,91,93
ds003522,S1,Anxiety,91,93
ds003522,S1,Depression,91,93
ds003522,S1,Fatigue,91,93
ds003522,S1,S_D,91,93
ds003522,S1,S_SR,91,93
ds003522,S1,PInteference,91,93
ds003522,S1,PIntesity,91,93
ds003522,S1,ApathyB4,91,93
ds003522,S1,DisinhibB4,91,93
ds003522,S1,ExecB4,91,93
ds003522,S1,ApathyNOW,90,93
ds003522,S1,DisinhibNOW,90,93
ds003522,S1,ExecNOW,90,93
ds003522,S1,FrsBeTotalBefore,91,93
ds003522,S1,FrsBeTotalAfter,90,93
ds003522,S1,HadHeadInjury,91,93
ds003522,S1,MechanismOfInjury,91,93
ds003522,S1,AgeAtHeadInjury,91,93
ds003522,S1,LOC,91,93
ds003522,S1,DurationLOC,91,93
ds003522,S1,DurationLOC_InMinutes,58,93
ds003522,S1,LOM,91,93
ds003522,S1,DazedDisoriented,91,93
ds003522,S1,UsingAlcohol,91,93
ds003522,S1,RivermeadTotal,90,93
ds003522,S1,TOMM_Trial1,90,93
ds003522,S1,TOMM_Trial2,90,93
ds003522,S1,TOPF_ComplexPredictedIQ,90,93
ds003522,S1,TOPF_TotalStdScore,90,93
ds003522,S1,CodingScaledScore,90,93
ds003522,S1,DigitSpanTotal,90,93
ds003522,S1,DigitSpanForward,90,93
ds003522,S1,DigitSpanBackward,90,93
ds003522,S1,DigitSpanSequencing,90,93
ds003522,S1,HVLTR_T1,90,93
ds003522,S1,HVLTR_T2,90,93
ds003522,S1,HVLTR_T3,90,93
ds003522,S1,HVLTR_T4,90,93
