dataset,group,session,n_with_eeg,n_with_NSItotal,n_with_eeg_and_NSItotal
ds003522,all,1,96,69,69
ds003522,all,2,59,59,59
ds003522,all,3,45,45,45
ds003522,mTBI,1,44,44,44
ds003522,mTBI,2,34,34,34
ds003522,mTBI,3,24,24,24
ds003522,Control,1,27,25,25
ds003522,Control,2,25,25,25
ds003522,Control,3,21,21,21
ds005114,all,1,91,89,89
ds005114,all,2,75,75,75
ds005114,all,3,57,57,57
ds005114,mTBI,1,57,57,57
ds005114,mTBI,2,44,44,44
ds005114,mTBI,3,31,31,31
ds005114,Control,1,34,32,32
ds005114,Control,2,31,31,31
ds005114,Control,3,26,26,26
ds003523,all,1,91,89,89
ds003523,all,2,74,74,74
ds003523,all,3,56,56,56
ds003523,mTBI,1,57,57,57
ds003523,mTBI,2,44,44,44
ds003523,mTBI,3,31,31,31
ds003523,Control,1,34,32,32
ds003523,Control,2,30,30,30
ds003523,Control,3,25,25,25
