model,outcome,predictor,n,beta,se,ci_low,ci_high,p_value,std_beta,std_ci_low,std_ci_high,p_fdr
H2_primary_parsimonious,S3_Rivermead_Total,Global_Aperiodic_Exponent,19,-9.993014767371818,25.627230934488676,-65.3572812301748,45.37125169543116,0.7028965906038239,-0.14154236114126661,-0.92572903357429,0.6426443112917568,0.7028965906038239
H2_primary_parsimonious,S3_Rivermead_Total,Posterior_IAF,19,5.7226779371321665,5.195479024968023,-5.501472103718614,16.94682797798295,0.29066718313239703,0.3689687145754117,-0.35470650501061995,1.0926439341614433,0.3633339789154963
H2_primary_parsimonious,S3_Rivermead_Total,P3b_Amplitude,19,2.640582202420716,2.203092331556559,-2.118909417967606,7.400073822809038,0.2520850194884585,0.3326207039762738,-0.26690823774402134,0.932149645696569,0.3633339789154963
H2_primary_parsimonious,S3_Rivermead_Total,Age,19,-0.8270472556600568,0.5716574842956399,-2.0620381669647276,0.4079436556446141,0.17164554401175156,-0.5625338553763006,-1.4025393011793446,0.2774715904267434,0.3633339789154963
H2_primary_parsimonious,S3_Rivermead_Total,Sex,19,-18.094485719979907,10.856398908405973,-41.54830964375704,5.359338203797218,0.11946896682645654,-0.45504821910900467,-1.0448754721724203,0.13477903395441088,0.3633339789154963
H2_transparency_full_OLS,S3_Rivermead_Total,Global_Aperiodic_Exponent,19,-13.865740656355047,32.549448567647495,-88.92490365196548,61.19342233925539,0.6813447616769412,-0.19639615442989364,-1.259543903432961,0.8667515945731737,0.8516809520961766
H2_transparency_full_OLS,S3_Rivermead_Total,Posterior_IAF,19,7.591134654924189,7.792029157738099,-10.3773168044513,25.55958611429968,0.35848145495913836,0.4894371527746445,-0.6690757865711746,1.6479500921204635,0.7670678677620213
H2_transparency_full_OLS,S3_Rivermead_Total,Frontal_Theta_Alpha_Ratio,19,-8.33247670933283,15.382056846023316,-43.80356340420815,27.138609985542487,0.602780204628191,-0.3322077011618403,-1.746405253663667,1.0819898513399864,0.8516809520961766
H2_transparency_full_OLS,S3_Rivermead_Total,Occipital_Relative_Alpha,19,-41.97974140448275,45.53542352742355,-146.98461635699454,63.02513354802902,0.38353393388101065,-0.5740476051129346,-2.009925840066433,0.8618306298405636,0.7670678677620213
H2_transparency_full_OLS,S3_Rivermead_Total,P3b_Amplitude,19,2.6886441779679617,2.8315282226081084,-3.8408716123136384,9.218159968249562,0.37014599524857245,0.33867482648242775,-0.48381505351321263,1.1611647064780681,0.7670678677620213
H2_transparency_full_OLS,S3_Rivermead_Total,P3b_Latency,19,0.023237043934807702,0.046486271820984026,-0.08396049111460635,0.13043457898422176,0.6306243254537007,0.15671837240398961,-0.5662575476741589,0.879694292482138,0.8516809520961766
H2_transparency_full_OLS,S3_Rivermead_Total,P3a_Amplitude,19,-4.183169469813377,3.4566642117037785,-12.154251436014539,3.7879124963877846,0.2607521917154717,-0.5691449853748825,-1.653657903585188,0.515367932835423,0.7670678677620213
H2_transparency_full_OLS,S3_Rivermead_Total,P3a_Latency,19,0.01207538380850455,0.12640091515856527,-0.2794056492407379,0.303556416857747,0.9262416169412744,0.03382264638868864,-0.7826035696367551,0.8502488624141323,0.9262416169412744
H2_transparency_full_OLS,S3_Rivermead_Total,Age,19,-1.4349708095468667,0.8290850601213656,-3.34684438662273,0.47690276752899674,0.12173606428758552,-0.9760260448511172,-2.27642769293618,0.32437560323394565,0.7670678677620213
H2_transparency_full_OLS,S3_Rivermead_Total,Sex,19,-4.305955355182524,17.90497614874988,-45.59490439493171,36.98299368456666,0.8159991800354945,-0.10828809098316536,-1.1466410466946448,0.9300648647283141,0.9066657555949938
H3_primary_parsimonious,S1_to_S3_NSI_Change,Global_Aperiodic_Exponent,21,19.527956724487172,32.64560403412813,-50.0545011585796,89.11041460755393,0.5586442722543277,0.21870513908545372,-0.5605899681256914,0.9980002462965989,0.6983053403179096
H3_primary_parsimonious,S1_to_S3_NSI_Change,Posterior_IAF,21,-1.3250659554272621,5.8833186026225395,-13.865062717370446,11.214930806515923,0.8248444649191122,-0.06895217946272354,-0.721493363280762,0.5835890043553148,0.8248444649191121
H3_primary_parsimonious,S1_to_S3_NSI_Change,P3b_Amplitude,21,4.132707320728696,2.8390494041612557,-1.9185832415925637,10.183997883049955,0.16609471358023062,0.4187939639196157,-0.19442244961944705,1.0320103774586784,0.6983053403179096
H3_primary_parsimonious,S1_to_S3_NSI_Change,Age,21,0.47190210994948595,0.6150402527176678,-0.8390251572065566,1.7828293771055286,0.4548291700868521,0.2744979335464305,-0.48804755687852497,1.037043423971386,0.6983053403179096
H3_primary_parsimonious,S1_to_S3_NSI_Change,Sex,21,-7.907842844011496,10.78013720093067,-30.885161382007205,15.069475693984211,0.4745288962595061,-0.18955831970344122,-0.7403459338821436,0.36122929447526125,0.6983053403179096
