model,outcome,predictor,n,beta,se,ci_low,ci_high,p_value,std_beta,std_ci_low,std_ci_high,p_fdr,m_imputations,missing_predictor_values
erp_metric_peak_primary,S3_NSI_Total,Global_Aperiodic_Exponent,21,-2.9256246658658647,29.356061270896905,-65.496588121144,59.645338789412264,0.9219340169965504,-0.03759876975211111,-0.8417317385403182,0.7665341990360961,0.9439929166129888,,
erp_metric_peak_primary,S3_NSI_Total,Posterior_IAF,21,-3.5290075544612316,5.064292307524102,-14.323291091915348,7.2652759829928835,0.49656043978842623,-0.21072493669428463,-0.8552757572825503,0.43382588389398113,0.9439929166129888,,
erp_metric_peak_primary,S3_NSI_Total,P3b_Amplitude_peak,21,1.5657971539900144,2.1333330760500893,-2.9812946614845863,6.112888969464615,0.47428582982936573,0.22042778246539685,-0.41969687416558243,0.8605524390963761,0.9439929166129888,,
erp_metric_peak_primary,S3_NSI_Total,Age,21,-0.040570026213067656,0.5679049386464523,-1.2510307496122006,1.1698906971860652,0.9439929166129888,-0.027079789891475196,-0.8350413595828738,0.7808817797999235,0.9439929166129888,,
erp_metric_peak_primary,S3_NSI_Total,Sex,21,-5.213004228744547,10.165511334300163,-26.88027874262138,16.45427028513228,0.6155509846664337,-0.14339226987555095,-0.7393863527941665,0.45260181304306457,0.9439929166129888,,
eyes_open_primary_combined,S3_NSI_Total,EO_Global_Aperiodic_Exponent,17,41.18301574746275,18.50095937235768,0.4626787214451724,81.90335277348032,0.04786082486053745,0.6213227067618394,0.006980372620893016,1.2356650409027858,0.23410319763973875,,
eyes_open_primary_combined,S3_NSI_Total,EO_Posterior_IAF,17,9.765956166225022,7.19919431338144,-6.079363682143642,25.611276014593685,0.20211685809798297,0.364589795411874,-0.22695923710703225,0.9561388279307802,0.336861430163305,,
eyes_open_primary_combined,S3_NSI_Total,P3b_Amplitude,17,4.5642239852205115,2.4870898888428283,-0.9098239519365174,10.03827192237754,0.0936412790558955,0.4820049450826047,-0.09608197262186358,1.060091862787073,0.23410319763973875,,
eyes_open_primary_combined,S3_NSI_Total,Age,17,0.27095748994025615,0.5297994066786749,-0.8951231419848623,1.4370381218653745,0.6191567111703296,0.16312032555166278,-0.5388770702060681,0.8651177213093937,0.6191567111703296,,
eyes_open_primary_combined,S3_NSI_Total,Sex,17,-8.499764354989779,9.641508782014284,-29.72058210509643,12.721053395116872,0.3968584171786195,-0.21867102271138528,-0.764612971968321,0.32727092654555046,0.4960730214732744,,
mice_predictor_imputation_primary,S3_NSI_Total,Global_Aperiodic_Exponent,25,3.700159410079894,27.04777467659268,-49.31347895604176,56.713797776201545,0.891188187101435,,,,,20.0,0.0
mice_predictor_imputation_primary,S3_NSI_Total,Posterior_IAF,25,-3.732943763947764,4.812680218990838,-13.165796993169806,5.699909465274278,0.4379570989778414,,,,,20.0,0.0
mice_predictor_imputation_primary,S3_NSI_Total,P3b_Amplitude,25,0.8657182718819441,2.2693957289986364,-3.582297356955383,5.313733900719271,0.7028506431164769,,,,,20.0,1.0
mice_predictor_imputation_primary,S3_NSI_Total,Age,25,-0.03786965233728392,0.49198999940457566,-1.0021700511702523,0.9264307464956844,0.9386454993063603,,,,,20.0,0.0
mice_predictor_imputation_primary,S3_NSI_Total,Sex,25,2.905746479256564,7.760155614003352,-12.304158524190006,18.115651482703136,0.708073747033968,,,,,20.0,0.0
erp_low_trial_subjects_included,S3_NSI_Total,Global_Aperiodic_Exponent,24,6.280472856252075,27.794315315690465,-52.113216783891076,64.67416249639523,0.823776499443828,0.08059636946128546,-0.6687611219510806,0.8299538608736515,0.9474213550258217,,
erp_low_trial_subjects_included,S3_NSI_Total,Posterior_IAF,24,-3.728746023492401,4.893049915996727,-14.008662436009484,6.551170389024683,0.4559005361928526,-0.22421901593853089,-0.8423766290939831,0.39393859721692137,0.9474213550258217,,
erp_low_trial_subjects_included,S3_NSI_Total,P3b_Amplitude,24,1.1378405844143442,2.351471323305137,-3.802417345712178,6.078098514540867,0.6343023692012095,0.12517425238727503,-0.4183053013167983,0.6686538060913483,0.9474213550258217,,
erp_low_trial_subjects_included,S3_NSI_Total,Age,24,0.03430475771815733,0.5129968820137505,-1.0434616982794624,1.1120712137157773,0.9474213550258216,0.022133344343310934,-0.6732388920167387,0.7175055807033606,0.9474213550258217,,
erp_low_trial_subjects_included,S3_NSI_Total,Sex,24,1.0195830534403192,8.437833196683316,-16.707646681349157,18.746812788229793,0.9051605990185123,0.028558703711062464,-0.46798417222780253,0.5251015796499274,0.9474213550258217,,
